Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Late-demographic dividend,LTE,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean,LCN,Individuals using the Internet (% of population),IT.NET.USER.ZS,23.7,26.4,31,34.6,39.3,43,46.1,48.7,54.4,57.5,60.2,63.5,67.8,73.8
Latin America & Caribbean (excluding high income),LAC,Individuals using the Internet (% of population),IT.NET.USER.ZS,23.3,25.9,30.3,34,38.7,42.1,45.1,47.7,53.3,56.4,59.2,62.6,67.9,73.3
Latin America & the Caribbean (IDA & IBRD countries),TLA,Individuals using the Internet (% of population),IT.NET.USER.ZS,23.9,26.7,31.3,35,39.7,43.4,46.4,49,54.7,57.7,60.2,63.5,67.7,73.8
Latvia,LVA,Individuals using the Internet (% of population),IT.NET.USER.ZS,59.17,63.41,66.84,68.42,69.75,73.1199,75.2344,75.8261,79.2006,79.8421,80.1141,83.5772,86.1355,88.898
Least developed countries: UN classification,LDC,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.8,2.2,2.6,3.3,4,4.8,6,8.2,10.7,13.8,16.2,19.5,21.2,24.1
Lebanon,LBN,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.74,22.53,30.14,43.68,52,61.2498,70.5,73,74,76.11,78.1808,80.9,81.4812,82.0665
Lesotho,LSO,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.44543,3.58,3.72,3.86,7,10,15,22,25,32.4539,39,40.8,42.3017,43.6575
Liberia,LBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.551377,0.53,2,2.3,2.5,2.6,3.2,5.41,10,15.7,16.3,17.2777,18.3141,19.4126
Libya,LBY,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.722,9,10.8,14,14,15.2,16.5,17.76,..,..,..,..,..,87.5754
Liechtenstein,LIE,Individuals using the Internet (% of population),IT.NET.USER.ZS,65.0802,70,75,80,85,89.4077,93.8,95.21,96.6412,98.0939,99.5466,..,93.1461,94.3499
Lithuania,LTU,Individuals using the Internet (% of population),IT.NET.USER.ZS,49.9,55.22,59.76,62.12,63.64,67.23,68.4529,72.1335,71.3781,74.3766,77.6153,79.7226,81.5819,83.0555
Low & middle income,LMY,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
